255 Sequences of PRBS8 (L=8) for Initial seed : 11010011

 PRN : 11010011 	 PRN1 : 00101100 
 PRN : 01100011 	 PRN1 : 10011100 
 PRN : 11000111 	 PRN1 : 00111000 
 PRN : 10001111 	 PRN1 : 01110000 
 PRN : 00011110 	 PRN1 : 11100001 
 PRN : 00111100 	 PRN1 : 11000011 
 PRN : 01111001 	 PRN1 : 10000110 
 PRN : 11110011 	 PRN1 : 00001100 
 PRN : 11100111 	 PRN1 : 00011000 
 PRN : 11001110 	 PRN1 : 00110001 
 PRN : 10011100 	 PRN1 : 01100011 
 PRN : 00111001 	 PRN1 : 11000110 
 PRN : 01110011 	 PRN1 : 10001100 
 PRN : 11100110 	 PRN1 : 00011001 
 PRN : 11001100 	 PRN1 : 00110011 
 PRN : 10011000 	 PRN1 : 01100111 
 PRN : 00110001 	 PRN1 : 11001110 
 PRN : 01100010 	 PRN1 : 10011101 
 PRN : 11000101 	 PRN1 : 00111010 
 PRN : 10001011 	 PRN1 : 01110100 
 PRN : 00010110 	 PRN1 : 11101001 
 PRN : 00101101 	 PRN1 : 11010010 
 PRN : 01011010 	 PRN1 : 10100101 
 PRN : 10110100 	 PRN1 : 01001011 
 PRN : 01101001 	 PRN1 : 10010110 
 PRN : 11010010 	 PRN1 : 00101101 
 PRN : 10100100 	 PRN1 : 01011011 
 PRN : 01001000 	 PRN1 : 10110111 
 PRN : 10010001 	 PRN1 : 01101110 
 PRN : 00100010 	 PRN1 : 11011101 
 PRN : 01000101 	 PRN1 : 10111010 
 PRN : 10001010 	 PRN1 : 01110101 
 PRN : 00010100 	 PRN1 : 11101011 
 PRN : 00101001 	 PRN1 : 11010110 
 PRN : 01010010 	 PRN1 : 10101101 
 PRN : 10100101 	 PRN1 : 01011010 
 PRN : 01001010 	 PRN1 : 10110101 
 PRN : 10010101 	 PRN1 : 01101010 
 PRN : 00101010 	 PRN1 : 11010101 
 PRN : 01010100 	 PRN1 : 10101011 
 PRN : 10101001 	 PRN1 : 01010110 
 PRN : 01010011 	 PRN1 : 10101100 
 PRN : 10100111 	 PRN1 : 01011000 
 PRN : 01001110 	 PRN1 : 10110001 
 PRN : 10011101 	 PRN1 : 01100010 
 PRN : 00111011 	 PRN1 : 11000100 
 PRN : 01110111 	 PRN1 : 10001000 
 PRN : 11101110 	 PRN1 : 00010001 
 PRN : 11011101 	 PRN1 : 00100010 
 PRN : 10111011 	 PRN1 : 01000100 
 PRN : 01110110 	 PRN1 : 10001001 
 PRN : 11101100 	 PRN1 : 00010011 
 PRN : 11011001 	 PRN1 : 00100110 
 PRN : 10110011 	 PRN1 : 01001100 
 PRN : 01100111 	 PRN1 : 10011000 
 PRN : 11001111 	 PRN1 : 00110000 
 PRN : 10011110 	 PRN1 : 01100001 
 PRN : 00111101 	 PRN1 : 11000010 
 PRN : 01111011 	 PRN1 : 10000100 
 PRN : 11110111 	 PRN1 : 00001000 
 PRN : 11101111 	 PRN1 : 00010000 
 PRN : 11011111 	 PRN1 : 00100000 
 PRN : 10111111 	 PRN1 : 01000000 
 PRN : 01111110 	 PRN1 : 10000001 
 PRN : 11111101 	 PRN1 : 00000010 
 PRN : 11111010 	 PRN1 : 00000101 
 PRN : 11110100 	 PRN1 : 00001011 
 PRN : 11101001 	 PRN1 : 00010110 
 PRN : 11010011 	 PRN1 : 00101100 
 PRN : 10100110 	 PRN1 : 01011001 
